timestamp,Q
2025-01-01,447.16
2025-01-02,546.44
2025-01-03,659.88
2025-01-04,564.46
2025-01-05,620.99
2025-01-06,1262.33
2025-01-07,1336.02
2025-01-08,1191.11
2025-01-09,1494.15
2025-01-10,1910.22
2025-01-11,1501.44
2025-01-12,1186.43
2025-01-13,989.90
2025-01-14,860.72
2025-01-15,743.10
2025-01-16,690.65
2025-01-17,642.49
2025-01-18,594.09
2025-01-19,535.44
2025-01-20,468.28
2025-01-21,399.60
2025-01-22,374.61
2025-01-23,534.79
2025-01-24,550.93
2025-01-25,732.12
2025-01-26,1089.42
2025-01-27,1110.81
2025-01-28,1048.30
2025-01-29,1005.31
2025-01-30,1037.45
2025-01-31,1057.03
2025-02-01,892.83
2025-02-02,733.72
2025-02-03,628.68
2025-02-04,524.92
2025-02-05,472.93
2025-02-06,420.72
2025-02-07,391.26
2025-02-08,361.48
2025-02-09,364.13
2025-02-10,347.27
2025-02-11,412.30
2025-02-12,375.11
2025-02-13,372.57
2025-02-14,323.61
2025-02-15,330.97
2025-02-16,309.90
2025-02-17,310.90
2025-02-18,302.27
2025-02-19,258.12
2025-02-20,260.42
2025-02-21,246.71
2025-02-22,234.23
2025-02-23,238.02
2025-02-24,233.96
2025-02-25,214.39
2025-02-26,304.19
2025-02-27,346.11
2025-02-28,351.62
2025-03-01,332.21
2025-03-02,322.09
2025-03-03,313.93
2025-03-04,280.59
2025-03-05,254.17
2025-03-06,245.32
2025-03-07,223.90
2025-03-08,202.57
2025-03-09,223.46
2025-03-10,210.45
2025-03-11,191.37
2025-03-12,199.89
2025-03-13,198.91
2025-03-14,175.02
2025-03-15,173.20
2025-03-16,174.21
2025-03-17,174.59
2025-03-18,182.95
2025-03-19,174.27
2025-03-20,161.21
2025-03-21,160.34
2025-03-22,143.66
2025-03-23,152.45
2025-03-24,149.62
2025-03-25,179.90
2025-03-26,180.58
2025-03-27,153.88
2025-03-28,113.61
2025-03-29,120.71
2025-03-30,115.93
2025-03-31,131.62
2025-04-01,117.45
2025-04-02,95.26
2025-04-03,94.19
2025-04-04,89.51
2025-04-05,98.63
2025-04-06,90.61
2025-04-07,74.58
2025-04-08,85.30
2025-04-09,79.15
2025-04-10,77.48
2025-04-11,73.24
2025-04-12,84.27
2025-04-13,99.78
2025-04-14,87.41
2025-04-15,71.51
2025-04-16,76.14
2025-04-17,92.54
2025-04-18,144.61
2025-04-19,106.49
2025-04-20,132.32
2025-04-21,105.16
2025-04-22,103.76
2025-04-23,76.21
2025-04-24,103.93
2025-04-25,136.69
2025-04-26,115.72
2025-04-27,110.74
2025-04-28,96.29
2025-04-29,70.77
2025-04-30,71.28
2025-05-01,72.74
2025-05-02,72.99
2025-05-03,72.57
2025-05-04,79.50
2025-05-05,77.82
2025-05-06,71.10
2025-05-07,51.68
2025-05-08,49.82
2025-05-09,49.34
2025-05-10,45.25
2025-05-11,77.35
2025-05-12,30.86
2025-05-13,70.10
2025-05-14,34.06
2025-05-15,48.87
2025-05-16,40.82
2025-05-17,39.07
2025-05-18,40.51
2025-05-19,40.03
2025-05-20,35.54
2025-05-21,40.57
2025-05-22,32.48
2025-05-23,32.05
2025-05-24,31.30
2025-05-25,62.40
2025-05-26,50.63
2025-05-27,40.86
2025-05-28,117.49
2025-05-29,66.11
2025-05-30,70.08
2025-05-31,53.72
2025-06-01,55.12
2025-06-02,56.05
2025-06-03,46.18
2025-06-04,15.75
2025-06-05,25.65
2025-06-06,84.86
2025-06-07,87.93
2025-06-08,114.51
2025-06-09,79.48
2025-06-10,60.67
2025-06-11,62.22
2025-06-12,26.83
2025-06-13,47.46
2025-06-14,46.85
2025-06-15,90.30
2025-06-16,38.11
2025-06-17,59.73
2025-06-18,29.61
2025-06-19,30.95
2025-06-20,24.75
2025-06-21,25.50
2025-06-22,33.73
2025-06-23,19.45
2025-06-24,19.58
2025-06-25,13.11
2025-06-26,37.25
2025-06-27,37.60
2025-06-28,38.32
2025-06-29,35.30
2025-06-30,45.98
2025-07-01,21.73
2025-07-02,48.78
2025-07-03,43.96
2025-07-04,9.55
2025-07-05,7.89
2025-07-06,27.23
2025-07-07,104.12
2025-07-08,48.68
2025-07-09,42.29
2025-07-10,37.97
2025-07-11,35.41
2025-07-12,32.32
2025-07-13,22.52
2025-07-14,17.66
2025-07-15,14.40
2025-07-16,12.92
2025-07-17,10.21
2025-07-18,12.93
2025-07-19,20.94
2025-07-20,29.11
2025-07-21,28.11
2025-07-22,66.65
2025-07-23,38.47
2025-07-24,52.20
2025-07-25,54.46
2025-07-26,30.22
2025-07-27,42.75
2025-07-28,47.49
2025-07-29,47.66
2025-07-30,36.48
2025-07-31,28.30
2025-08-01,86.20
