timestamp,Q
2023-08-21,1595.35
2023-08-22,1497.66
2023-08-23,1399.42
2023-08-24,1305.61
2023-08-25,1243.07
2023-08-26,1284.62
2023-08-27,1265.90
2023-08-28,1245.73
2023-08-29,1299.37
2023-08-30,1371.78
2023-08-31,1455.28
2023-09-01,1602.23
2023-09-02,2028.18
2023-09-03,2267.07
2023-09-04,2205.44
2023-09-05,2054.91
2023-09-06,1903.95
2023-09-07,1749.79
2023-09-08,1642.49
2023-09-09,1568.24
2023-09-10,1509.48
2023-09-11,1443.09
2023-09-12,1414.73
2023-09-13,1430.99
2023-09-14,1474.18
2023-09-15,1496.00
2023-09-16,1443.52
2023-09-17,1395.52
2023-09-18,1347.60
2023-09-19,1309.64
2023-09-20,1261.74
2023-09-21,1212.80
2023-09-22,1231.96
2023-09-23,1277.84
2023-09-24,1282.85
2023-09-25,1289.03
2023-09-26,1288.16
2023-09-27,1282.77
2023-09-28,1272.46
2023-09-29,1250.57
2023-09-30,1234.94
2023-10-01,1205.25
2023-10-02,1175.73
2023-10-03,1160.93
2023-10-04,1141.55
2023-10-05,1134.92
2023-10-06,1119.54
2023-10-07,1099.15
2023-10-08,1069.35
2023-10-09,1036.76
2023-10-10,1013.50
2023-10-11,999.17
2023-10-12,992.61
2023-10-13,998.73
2023-10-14,1029.84
2023-10-15,1038.18
2023-10-16,1005.80
2023-10-17,963.42
2023-10-18,946.56
2023-10-19,957.53
2023-10-20,976.49
2023-10-21,1031.29
2023-10-22,1106.26
2023-10-23,1186.46
2023-10-24,1193.64
2023-10-25,1155.47
2023-10-26,1163.31
2023-10-27,1229.76
2023-10-28,1430.25
2023-10-29,1671.60
2023-10-30,1848.52
2023-10-31,2080.62
2023-11-01,2345.12
2023-11-02,2507.71
2023-11-03,2486.92
2023-11-04,2353.72
2023-11-05,2269.86
2023-11-06,2249.57
2023-11-07,2311.10
2023-11-08,2465.12
2023-11-09,2580.85
2023-11-10,2609.70
2023-11-11,2598.54
2023-11-12,2601.56
2023-11-13,2632.77
2023-11-14,2750.82
2023-11-15,3011.41
2023-11-16,3782.75
2023-11-17,4304.31
2023-11-18,4708.60
2023-11-19,5110.14
2023-11-20,5413.86
2023-11-21,5626.01
2023-11-22,5683.43
2023-11-23,5587.57
2023-11-24,5326.43
2023-11-25,5000.14
2023-11-26,4672.24
2023-11-27,4480.68
2023-11-28,4391.65
2023-11-29,4277.94
2023-11-30,4200.77
2023-12-01,4148.32
2023-12-02,4020.52
2023-12-03,3803.36
2023-12-04,3592.74
2023-12-05,3613.74
2023-12-06,3736.43
2023-12-07,3884.12
2023-12-08,4057.75
2023-12-09,4069.63
2023-12-10,4022.86
2023-12-11,4075.08
2023-12-12,4480.89
2023-12-13,4830.26
2023-12-14,5055.84
2023-12-15,5295.68
2023-12-16,5665.83
2023-12-17,5882.84
2023-12-18,5827.61
2023-12-19,5569.45
2023-12-20,5286.47
2023-12-21,5037.20
2023-12-22,4996.34
2023-12-23,5326.71
2023-12-24,5936.02
2023-12-25,6601.52
2023-12-26,7176.16
2023-12-27,7466.48
2023-12-28,7405.18
2023-12-29,6901.85
2023-12-30,6313.77
2023-12-31,5735.46
2024-01-01,5201.08
2024-01-02,4775.48
2024-01-03,4617.19
2024-01-04,5084.91
2024-01-05,6288.09
2024-01-06,7092.87
2024-01-07,7236.54
2024-01-08,6704.46
2024-01-09,5938.38
2024-01-10,5340.78
2024-01-11,4781.51
2024-01-12,4230.29
2024-01-13,3772.13
2024-01-14,3432.85
2024-01-15,3225.56
2024-01-16,3058.89
2024-01-17,2895.28
2024-01-18,2730.64
